level,city,town,name,Total population,Population under age 18,Percent under age 18,Population ages 18+,Percent ages 18+,Population ages 65+,Percent ages 65+,White population,Percent white,Black population,Percent black,Latino population,Percent Latino,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate
7_neighborhood,Hartford,West Hartford,Bishops Corner West,8025,1891,0.24,6134,0.76,1665,0.21,5720,0.71,526,0.07,633,0.08,1146,0.14,1686,0.21,3081,2534,0.82,650,0.21,7961,197,0.02,613,0.08,1877,15,0.01,26,0.01,1665,128,0.08,412,0.25
7_neighborhood,Hartford,West Hartford,Buena Vista,6001,1218,0.2,4783,0.8,1656,0.28,4646,0.77,286,0.05,305,0.05,764,0.13,1166,0.19,2398,2162,0.9,710,0.3,5941,350,0.06,508,0.09,1203,15,0.01,15,0.01,1614,159,0.1,260,0.16
7_neighborhood,Hartford,West Hartford,Corbins Corner,4916,1072,0.22,3844,0.78,1045,0.21,3063,0.62,399,0.08,676,0.14,778,0.16,920,0.19,1951,1565,0.8,580,0.31,4916,301,0.06,795,0.16,1072,10,0.01,67,0.06,1045,86,0.08,244,0.23
7_neighborhood,Hartford,West Hartford,Elizabeth Park,4443,1001,0.23,3442,0.77,785,0.18,3704,0.83,116,0.03,408,0.09,215,0.05,524,0.12,1716,1621,0.94,363,0.21,4443,105,0.02,220,0.05,1001,0,0,36,0.04,785,85,0.11,108,0.14
7_neighborhood,Hartford,West Hartford,Farmington East,10195,1732,0.17,8463,0.83,1700,0.17,7171,0.7,778,0.08,1430,0.14,816,0.08,1549,0.15,4748,2086,0.44,1590,0.35,9961,1005,0.1,1836,0.18,1732,158,0.09,322,0.19,1498,166,0.11,378,0.25
7_neighborhood,Hartford,West Hartford,Golf Acres,11870,2099,0.18,9771,0.82,2826,0.24,6585,0.55,3723,0.31,521,0.04,1041,0.09,2403,0.2,4723,3231,0.68,1741,0.37,11183,838,0.07,1784,0.16,2096,143,0.07,355,0.17,2492,226,0.09,605,0.24
7_neighborhood,Hartford,West Hartford,Kennedy Park,3651,613,0.17,3038,0.83,316,0.09,2294,0.63,423,0.12,731,0.2,203,0.06,768,0.21,1622,619,0.38,474,0.29,3632,510,0.14,852,0.23,594,209,0.35,287,0.48,316,31,0.1,106,0.34
7_neighborhood,Hartford,West Hartford,Mountain West,4469,1311,0.29,3158,0.71,897,0.2,3404,0.76,171,0.04,157,0.04,737,0.16,925,0.21,1614,1408,0.87,440,0.27,4469,116,0.03,142,0.03,1311,40,0.03,53,0.04,897,35,0.04,42,0.05
7_neighborhood,Hartford,West Hartford,New Park,6543,1403,0.21,5140,0.79,1008,0.15,2038,0.31,1023,0.16,2758,0.42,724,0.11,1640,0.25,2752,1418,0.52,1108,0.4,6543,840,0.13,1870,0.29,1403,316,0.23,589,0.42,1008,207,0.21,404,0.4
7_neighborhood,Hartford,West Hartford,Rockledge,6843,1920,0.28,4923,0.72,1011,0.15,5328,0.78,160,0.02,841,0.12,514,0.08,644,0.09,2550,2189,0.86,686,0.27,6841,273,0.04,807,0.12,1919,50,0.03,196,0.1,1011,103,0.1,245,0.24
7_neighborhood,Hartford,West Hartford,West Hartford Center,4879,1199,0.25,3680,0.75,679,0.14,3984,0.82,28,0.01,245,0.05,622,0.13,638,0.13,2021,1476,0.73,453,0.23,4847,138,0.03,367,0.08,1193,9,0.01,87,0.07,664,26,0.04,108,0.16
